name,regime,start,end,cagr,return,max_drawdown,daily_arithmetic_mean_excess_vs_spy
DEFENSIVE_BIL_10bps,2021,2021-01-04,2021-12-31,-0.0009775058699,-0.0009775058699,-0.0009775058699,-0.2604794629
DEFENSIVE_BIL_10bps,inflation2022,2022-01-03,2022-12-30,0.01364522584,0.01359071182,-0.000291761423,0.185494725
DEFENSIVE_BIL_10bps,2023_2025,2023-01-03,2025-12-31,0.04793658371,0.1499586597,-0.0002869999127,-0.1712140436
DEFENSIVE_BIL_10bps,2026_YTD,2026-01-02,2026-07-31,0.03636340295,0.02076458716,0,-0.1402697738
STATIC80_BIL_10bps,2016_2019,2016-01-04,2019-12-31,0.119718585,0.5705283976,-0.1543066995,-0.02736440974
STATIC80_BIL_10bps,covid2020,2020-01-02,2020-12-31,0.1524670858,0.1531162398,-0.273303215,-0.04766142389
STATIC80_BIL_10bps,2021,2021-01-04,2021-12-31,0.2232695769,0.2232695769,-0.04103291075,-0.05243681396
STATIC80_BIL_10bps,inflation2022,2022-01-03,2022-12-30,-0.1433705393,-0.1428443331,-0.1981092566,0.03561148392
STATIC80_BIL_10bps,2023_2025,2023-01-03,2025-12-31,0.1922841083,0.6901563797,-0.150610157,-0.03498194938
STATIC80_BIL_10bps,2026_YTD,2026-01-02,2026-07-31,0.1526705582,0.08518798439,-0.07008561983,-0.02784086462
STATIC70_BIL_10bps,2016_2019,2016-01-04,2019-12-31,0.1060723002,0.4955005488,-0.1348203211,-0.04086689297
STATIC70_BIL_10bps,covid2020,2020-01-02,2020-12-31,0.1365468978,0.1371243138,-0.2407463711,-0.07061029842
STATIC70_BIL_10bps,2021,2021-01-04,2021-12-31,0.1932295274,0.1932295274,-0.03596417616,-0.07859103123
STATIC70_BIL_10bps,inflation2022,2022-01-03,2022-12-30,-0.1239016512,-0.1234416591,-0.1741381407,0.05371443254
STATIC70_BIL_10bps,2023_2025,2023-01-03,2025-12-31,0.1737828786,0.6130905365,-0.1320098287,-0.05232165409
STATIC70_BIL_10bps,2026_YTD,2026-01-02,2026-07-31,0.1383354574,0.07740188507,-0.06071086526,-0.0417870925
ABS12_BIL_10bps,2016_2019,2016-01-04,2019-12-31,0.09426873516,0.4327996147,-0.1928663299,-0.04827538025
ABS12_BIL_10bps,covid2020,2020-01-02,2020-12-31,0.02717211226,0.02728139576,-0.3368469246,-0.1461658983
