,SPY_BIL_0bps,DEFENSIVE_BIL_0bps,STATIC80_BIL_0bps,STATIC70_BIL_0bps,ABS12_BIL_0bps,SMA10_BIL_0bps,SPY_BIL_10bps,DEFENSIVE_BIL_10bps,STATIC80_BIL_10bps,STATIC70_BIL_10bps,ABS12_BIL_10bps,SMA10_BIL_10bps,SPY_BIL_20bps,DEFENSIVE_BIL_20bps,STATIC80_BIL_20bps,STATIC70_BIL_20bps,ABS12_BIL_20bps,SMA10_BIL_20bps,SPY_ZERO_CASH_0bps,DEFENSIVE_ZERO_CASH_0bps,STATIC80_ZERO_CASH_0bps,STATIC70_ZERO_CASH_0bps,ABS12_ZERO_CASH_0bps,SMA10_ZERO_CASH_0bps,SPY_ZERO_CASH_10bps,DEFENSIVE_ZERO_CASH_10bps,STATIC80_ZERO_CASH_10bps,STATIC70_ZERO_CASH_10bps,ABS12_ZERO_CASH_10bps,SMA10_ZERO_CASH_10bps,SPY_ZERO_CASH_20bps,DEFENSIVE_ZERO_CASH_20bps,STATIC80_ZERO_CASH_20bps,STATIC70_ZERO_CASH_20bps,ABS12_ZERO_CASH_20bps,SMA10_ZERO_CASH_20bps
2016-01-04,0,0,0,0,0,0,-0.000999000999001,-0.000999000999001,-0.000999000999001,-0.000999000999001,-0.000999000999001,-0.000999000999001,-0.00199600798403,-0.00199600798403,-0.00199600798403,-0.00199600798403,-0.00199600798403,-0.00199600798403,0,0,0,0,0,0,-0.000999000999001,0,-0.000799360511591,-0.00069951034276,-0.000999000999001,-0.000999000999001,-0.00199600798403,0,-0.00159744408946,-0.00139804274016,-0.00199600798403,-0.00199600798403
2016-01-05,0.00199989081376,-2.983657764e-05,0.00159394533548,0.00139097259634,0.00199989081376,0.00199989081376,0.00199989081376,-2.983657764e-05,0.00159394533548,0.00139097259634,0.00199989081376,0.00199989081376,0.00199989081376,-2.983657764e-05,0.00159394533548,0.00139097259634,0.00199989081376,0.00199989081376,0.00199989081376,0,0.00159991265101,0.00139992356963,0.00199989081376,0.00199989081376,0.00199989081376,0,0.00159991265101,0.00139992356963,0.00199989081376,0.00199989081376,0.00199989081376,0,0.00159991265101,0.00139992356963,0.00199989081376,0.00199989081376
2016-01-06,-0.0126840102749,-2.69697435354e-05,-0.0101567060819,-0.00889228559343,-0.0126840102749,-0.0126840102749,-0.0126840102749,-2.69697435354e-05,-0.0101567060819,-0.00889228559343,-0.0126840102749,-0.0126840102749,-0.0126840102749,-2.69697435354e-05,-0.0101567060819,-0.00889228559343,-0.0126840102749,-0.0126840102749,-0.0126840102749,0,-0.0101512603985,-0.00888412673894,-0.0126840102749,-0.0126840102749,-0.0126840102749,0,-0.0101512603985,-0.00888412673894,-0.0126840102749,-0.0126840102749,-0.0126840102749,0,-0.0101512603985,-0.00888412673894,-0.0126840102749,-0.0126840102749
2016-01-07,-0.0235210307879,-1.76008592735e-05,-0.0187799382312,-0.0164170251076,-0.0235210307879,-0.0235210307879,-0.0235210307879,-1.76008592735e-05,-0.0187799382312,-0.0164170251076,-0.0235210307879,-0.0235210307879,-0.0235210307879,-1.76008592735e-05,-0.0187799382312,-0.0164170251076,-0.0235210307879,-0.0235210307879,-0.0235210307879,0,-0.0187761726364,-0.0164114233824,-0.0235210307879,-0.0235210307879,-0.0235210307879,0,-0.0187761726364,-0.0164114233824,-0.0235210307879,-0.0235210307879,-0.0235210307879,0,-0.0187761726364,-0.0164114233824,-0.0235210307879,-0.0235210307879
2016-01-08,-0.0107758063027,2.07974012034e-06,-0.00856012795724,-0.00746383171585,-0.0107758063027,-0.0107758063027,-0.0107758063027,2.07974012034e-06,-0.00856012795724,-0.00746383171585,-0.0107758063027,-0.0107758063027,-0.0107758063027,2.07974012034e-06,-0.00856012795724,-0.00746383171585,-0.0107758063027,-0.0107758063027,-0.0107758063027,0,-0.00856042455273,-0.0074643001279,-0.0107758063027,-0.0107758063027,-0.0107758063027,0,-0.00856042455273,-0.0074643001279,-0.0107758063027,-0.0107758063027,-0.0107758063027,0,-0.00856042455273,-0.0074643001279,-0.0107758063027,-0.0107758063027
2016-01-11,0.000848719296425,4.59731075431e-07,0.000672831214033,0.000586093891101,0.000848719296425,0.000848719296425,0.000848719296425,4.59731075431e-07,0.000672831214033,0.000586093891101,0.000848719296425,0.000848719296425,0.000848719296425,4.59731075431e-07,0.000672831214033,0.000586093891101,0.000848719296425,0.000848719296425,0.000848719296425,0,0.000672725798487,0.000585938434528,0.000848719296425,0.000848719296425,0.000848719296425,0,0.000672725798487,0.000585938434528,0.000848719296425,0.000848719296425,0.000848719296425,0,0.000672725798487,0.000585938434528,0.000848719296425,0.000848719296425
2016-01-12,0.00775280876036,-1.031110644e-05,0.00614419406659,0.00535071475792,0.00775280876036,0.00775280876036,0.00775280876036,-1.031110644e-05,0.00614419406659,0.00535071475792,0.00775280876036,0.00775280876036,0.00775280876036,-1.031110644e-05,0.00614419406659,0.00535071475792,0.00775280876036,0.00775280876036,0.00775280876036,0,0.00614623912212,0.00535378619847,0.00775280876036,0.00775280876036,0.00775280876036,0,0.00614623912212,0.00535378619847,0.00775280876036,0.00775280876036,0.00775280876036,0,0.00614623912212,0.00535378619847,0.00775280876036,0.00775280876036
2016-01-13,-0.0246945963288,2.03597194992e-06,-0.0196084509257,-0.0170936201136,-0.0246945963288,-0.0246945963288,-0.0246945963288,2.03597194992e-06,-0.0196084509257,-0.0170936201136,-0.0246945963288,-0.0246945963288,-0.0246945963288,2.03597194992e-06,-0.0196084509257,-0.0170936201136,-0.0246945963288,-0.0246945963288,-0.0246945963288,0,-0.0196085383451,-0.0170938143642,-0.0246945963288,-0.0246945963288,-0.0246945963288,0,-0.0196085383451,-0.0170938143642,-0.0246945963288,-0.0246945963288,-0.0246945963288,0,-0.0196085383451,-0.0170938143642,-0.0246945963288,-0.0246945963288
2016-01-14,0.0165893307463,-1.19968855443e-05,0.0131019835956,0.0113910086138,0.0165893307463,0.0165893307463,0.0165893307463,-1.19968855443e-05,0.0131019835956,0.0113910086138,0.0165893307463,0.0165893307463,0.0165893307463,-1.19968855443e-05,0.0131019835956,0.0113910086138,0.0165893307463,0.0165893307463,0.0165893307463,0,0.0131042830893,0.0113944792031,0.0165893307463,0.0165893307463,0.0165893307463,0,0.0131042830893,0.0113944792031,0.0165893307463,0.0165893307463,0.0165893307463,0,0.0131042830893,0.0113944792031,0.0165893307463,0.0165893307463
2016-01-15,-0.0214181085423,1.46460085999e-05,-0.016974129771,-0.014782602334,-0.0214181085423,-0.0214181085423,-0.0214181085423,1.46460085999e-05,-0.016974129771,-0.014782602334,-0.0214181085423,-0.0214181085423,-0.0214181085423,1.46460085999e-05,-0.016974129771,-0.014782602334,-0.0214181085423,-0.0214181085423,-0.0214181085423,0,-0.0169768421938,-0.014786714855,-0.0214181085423,-0.0214181085423,-0.0214181085423,0,-0.0169768421938,-0.014786714855,-0.0214181085423,-0.0214181085423,-0.0214181085423,0,-0.0169768421938,-0.014786714855,-0.0214181085423,-0.0214181085423
