model,defense,cost_bps,exit_decision,exit_execution,reentry_decision,reentry_execution,end,started_defensive,open_right_censored,defensive_sessions,calendar_months,spy_return_while_defensive,defensive_etf_total_return_same_dates,strategy_net_spell_return,net_relative_wealth_vs_staying_spy,post_exit_spy_low_date,post_exit_spy_loss_to_low,rebound_from_low_to_reentry,whipsaw,short_spell_at_most_3_calendar_months
SMA10,BIL,10,2020-02-28,2020-03-02,2020-05-29,2020-06-01,2020-06-01,False,False,63,2.98973306,-0.006390476146,0.001591807229,-0.002406559269,0.004009539745,2020-03-23,-0.2739370491,0.3684894989,False,True
SMA10,BIL,10,2022-02-28,2022-03-01,2022-03-31,2022-04-01,2022-04-01,False,False,23,1.018480493,0.05672371874,4.621899675e-05,-0.003945977494,-0.05741301644,2022-03-08,-0.03115636243,0.09070615501,True,True
SMA10,BIL,10,2022-04-29,2022-05-02,2022-11-30,2022-12-01,2022-12-01,False,False,148,6.997946612,-0.009186436266,0.01010388758,0.006071540751,0.01539944302,2022-10-12,-0.1322801811,0.1418588606,False,False
SMA10,BIL,10,2022-12-30,2023-01-03,2023-01-31,2023-02-01,2023-02-01,False,False,20,0.9527720739,0.07775416251,0.003056706547,-0.0009475078466,-0.0730237684,2023-01-05,-0.003962922713,0.08204221217,True,True
SMA10,BIL,10,2023-10-31,2023-11-01,2023-11-30,2023-12-01,2023-12-01,False,False,21,0.9856262834,0.08616725161,0.004631574068,0.0006210727851,-0.07875967417,2023-11-01,0,0.08616725161,True,True
SMA10,BIL,10,2025-03-31,2025-04-01,2025-05-30,2025-06-02,2025-06-02,False,False,42,2.036960986,0.05595203698,0.007056539678,0.003036357903,-0.05011182064,2025-04-08,-0.1148599615,0.1929773719,True,True
SMA10,BIL,10,2026-03-31,2026-04-01,2026-04-30,2026-05-01,2026-05-01,False,False,21,0.9856262834,0.09984606352,0.003121002419,-0.0008834686439,-0.0915851186,2026-04-01,0,0.09984606352,True,True
ABS12,BIL,20,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,-0.007630217897,-0.07511317953,2016-02-11,-0.05541225486,0.1359066282,True,True
ABS12,BIL,20,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,-0.004348745091,-0.1112405235,2019-01-03,-0.02435069082,0.1482309784,True,True
ABS12,BIL,20,2020-03-31,2020-04-01,2020-04-30,2020-05-01,2020-05-01,False,False,21,0.9856262834,0.1461005887,-9.181283194e-05,-0.008059177003,-0.1345080591,2020-04-01,0,0.1461005887,True,True
ABS12,BIL,20,2022-05-31,2022-06-01,2023-04-28,2023-05-01,2023-05-01,False,False,229,10.97330595,0.030763738,0.02761226586,0.01942415293,-0.01100114861,2022-10-12,-0.122384343,0.1745047275,True,False
SMA10,BIL,20,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,-0.007630217897,-0.07511317953,2016-02-11,-0.05541225486,0.1359066282,True,True
SMA10,BIL,20,2018-10-31,2018-11-01,2018-11-30,2018-12-03,2018-12-03,False,False,21,1.051334702,0.02058897649,0.001818663796,-0.006163923235,-0.02621319683,2018-11-23,-0.0374673102,0.06031617139,True,True
SMA10,BIL,20,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,-0.004348745091,-0.1112405235,2019-01-03,-0.02435069082,0.1482309784,True,True
SMA10,BIL,20,2019-05-31,2019-06-03,2019-06-28,2019-07-01,2019-07-01,False,False,20,0.9199178645,0.08122998331,0.001820131368,-0.006162467358,-0.08082688421,2019-06-03,0,0.08122998331,True,True
SMA10,BIL,20,2020-02-28,2020-03-02,2020-05-29,2020-06-01,2020-06-01,False,False,63,2.98973306,-0.006390476146,0.001591807229,-0.006388972188,1.513630408e-06,2020-03-23,-0.2739370491,0.3684894989,False,True
SMA10,BIL,20,2022-02-28,2022-03-01,2022-03-31,2022-04-01,2022-04-01,False,False,23,1.018480493,0.05672371874,4.621899675e-05,-0.007922245025,-0.06117584248,2022-03-08,-0.03115636243,0.09070615501,True,True
SMA10,BIL,20,2022-04-29,2022-05-02,2022-11-30,2022-12-01,2022-12-01,False,False,148,6.997946612,-0.009186436266,0.01010388758,0.002055283087,0.01134594818,2022-10-12,-0.1322801811,0.1418588606,False,False
SMA10,BIL,20,2022-12-30,2023-01-03,2023-01-31,2023-02-01,2023-02-01,False,False,20,0.9527720739,0.07775416251,0.003056706547,-0.004935745329,-0.07672427601,2023-01-05,-0.003962922713,0.08204221217,True,True
SMA10,BIL,20,2023-10-31,2023-11-01,2023-11-30,2023-12-01,2023-12-01,False,False,21,0.9856262834,0.08616725161,0.004631574068,-0.003373426502,-0.08243728393,2023-11-01,0,0.08616725161,True,True
SMA10,BIL,20,2025-03-31,2025-04-01,2025-05-30,2025-06-02,2025-06-02,False,False,42,2.036960986,0.05595203698,0.007056539678,-0.0009677832502,-0.0539037932,2025-04-08,-0.1148599615,0.1929773719,True,True
SMA10,BIL,20,2026-03-31,2026-04-01,2026-04-30,2026-05-01,2026-05-01,False,False,21,0.9856262834,0.09984606352,0.003121002419,-0.004871961772,-0.09521152893,2026-04-01,0,0.09984606352,True,True
ABS12,ZERO_CASH,0,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,0,-0.06800183041,2016-02-11,-0.05541225486,0.1359066282,True,True
ABS12,ZERO_CASH,0,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,0,-0.1073586539,2019-01-03,-0.02435069082,0.1482309784,True,True
ABS12,ZERO_CASH,0,2020-03-31,2020-04-01,2020-04-30,2020-05-01,2020-05-01,False,False,21,0.9856262834,0.1461005887,-9.181283194e-05,0,-0.1274762356,2020-04-01,0,0.1461005887,True,True
ABS12,ZERO_CASH,0,2022-05-31,2022-06-01,2023-04-28,2023-05-01,2023-05-01,False,False,229,10.97330595,0.030763738,0.02761226586,0,-0.0298455765,2022-10-12,-0.122384343,0.1745047275,True,False
SMA10,ZERO_CASH,0,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,0,-0.06800183041,2016-02-11,-0.05541225486,0.1359066282,True,True
SMA10,ZERO_CASH,0,2018-10-31,2018-11-01,2018-11-30,2018-12-03,2018-12-03,False,False,21,1.051334702,0.02058897649,0.001818663796,0,-0.02017362225,2018-11-23,-0.0374673102,0.06031617139,True,True
SMA10,ZERO_CASH,0,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,0,-0.1073586539,2019-01-03,-0.02435069082,0.1482309784,True,True
SMA10,ZERO_CASH,0,2019-05-31,2019-06-03,2019-06-28,2019-07-01,2019-07-01,False,False,20,0.9199178645,0.08122998331,0.001820131368,0,-0.07512738693,2019-06-03,0,0.08122998331,True,True
SMA10,ZERO_CASH,0,2020-02-28,2020-03-02,2020-05-29,2020-06-01,2020-06-01,False,False,63,2.98973306,-0.006390476146,0.001591807229,0,0.006431576985,2020-03-23,-0.2739370491,0.3684894989,False,True
SMA10,ZERO_CASH,0,2022-02-28,2022-03-01,2022-03-31,2022-04-01,2022-04-01,False,False,23,1.018480493,0.05672371874,4.621899675e-05,0,-0.05367885449,2022-03-08,-0.03115636243,0.09070615501,True,True
SMA10,ZERO_CASH,0,2022-04-29,2022-05-02,2022-11-30,2022-12-01,2022-12-01,False,False,148,6.997946612,-0.009186436266,0.01010388758,0,0.009271609314,2022-10-12,-0.1322801811,0.1418588606,False,False
SMA10,ZERO_CASH,0,2022-12-30,2023-01-03,2023-01-31,2023-02-01,2023-02-01,False,False,20,0.9527720739,0.07775416251,0.003056706547,0,-0.07214461815,2023-01-05,-0.003962922713,0.08204221217,True,True
SMA10,ZERO_CASH,0,2023-10-31,2023-11-01,2023-11-30,2023-12-01,2023-12-01,False,False,21,0.9856262834,0.08616725161,0.004631574068,0,-0.07933147633,2023-11-01,0,0.08616725161,True,True
SMA10,ZERO_CASH,0,2025-03-31,2025-04-01,2025-05-30,2025-06-02,2025-06-02,False,False,42,2.036960986,0.05595203698,0.007056539678,0,-0.05298729016,2025-04-08,-0.1148599615,0.1929773719,True,True
SMA10,ZERO_CASH,0,2026-03-31,2026-04-01,2026-04-30,2026-05-01,2026-05-01,False,False,21,0.9856262834,0.09984606352,0.003121002419,0,-0.09078185287,2026-04-01,0,0.09984606352,True,True
ABS12,ZERO_CASH,10,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,-0.001998001998,-0.06986396462,2016-02-11,-0.05541225486,0.1359066282,True,True
ABS12,ZERO_CASH,10,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,-0.001998001998,-0.1091421531,2019-01-03,-0.02435069082,0.1482309784,True,True
ABS12,ZERO_CASH,10,2020-03-31,2020-04-01,2020-04-30,2020-05-01,2020-05-01,False,False,21,0.9856262834,0.1461005887,-9.181283194e-05,-0.001998001998,-0.1292195398,2020-04-01,0,0.1461005887,True,True
ABS12,ZERO_CASH,10,2022-05-31,2022-06-01,2023-04-28,2023-05-01,2023-05-01,False,False,229,10.97330595,0.030763738,0.02761226586,-0.001998001998,-0.03178394698,2022-10-12,-0.122384343,0.1745047275,True,False
SMA10,ZERO_CASH,10,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,-0.001998001998,-0.06986396462,2016-02-11,-0.05541225486,0.1359066282,True,True
SMA10,ZERO_CASH,10,2018-10-31,2018-11-01,2018-11-30,2018-12-03,2018-12-03,False,False,21,1.051334702,0.02058897649,0.001818663796,-0.001998001998,-0.02213131731,2018-11-23,-0.0374673102,0.06031617139,True,True
SMA10,ZERO_CASH,10,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,-0.001998001998,-0.1091421531,2019-01-03,-0.02435069082,0.1482309784,True,True
SMA10,ZERO_CASH,10,2019-05-31,2019-06-03,2019-06-28,2019-07-01,2019-07-01,False,False,20,0.9199178645,0.08122998331,0.001820131368,-0.001998001998,-0.07697528425,2019-06-03,0,0.08122998331,True,True
SMA10,ZERO_CASH,10,2020-02-28,2020-03-02,2020-05-29,2020-06-01,2020-06-01,False,False,63,2.98973306,-0.006390476146,0.001591807229,-0.001998001998,0.004420724684,2020-03-23,-0.2739370491,0.3684894989,False,True
SMA10,ZERO_CASH,10,2022-02-28,2022-03-01,2022-03-31,2022-04-01,2022-04-01,False,False,23,1.018480493,0.05672371874,4.621899675e-05,-0.001998001998,-0.05556960603,2022-03-08,-0.03115636243,0.09070615501,True,True
SMA10,ZERO_CASH,10,2022-04-29,2022-05-02,2022-11-30,2022-12-01,2022-12-01,False,False,148,6.997946612,-0.009186436266,0.01010388758,-0.001998001998,0.007255082622,2022-10-12,-0.1322801811,0.1418588606,False,False
SMA10,ZERO_CASH,10,2022-12-30,2023-01-03,2023-01-31,2023-02-01,2023-02-01,False,False,20,0.9527720739,0.07775416251,0.003056706547,-0.001998001998,-0.07399847505,2023-01-05,-0.003962922713,0.08204221217,True,True
SMA10,ZERO_CASH,10,2023-10-31,2023-11-01,2023-11-30,2023-12-01,2023-12-01,False,False,21,0.9856262834,0.08616725161,0.004631574068,-0.001998001998,-0.08117097388,2023-11-01,0,0.08616725161,True,True
SMA10,ZERO_CASH,10,2025-03-31,2025-04-01,2025-05-30,2025-06-02,2025-06-02,False,False,42,2.036960986,0.05595203698,0.007056539678,-0.001998001998,-0.05487942345,2025-04-08,-0.1148599615,0.1929773719,True,True
SMA10,ZERO_CASH,10,2026-03-31,2026-04-01,2026-04-30,2026-05-01,2026-05-01,False,False,21,0.9856262834,0.09984606352,0.003121002419,-0.001998001998,-0.09259847255,2026-04-01,0,0.09984606352,True,True
ABS12,ZERO_CASH,20,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,-0.003992015968,-0.07172238199,2016-02-11,-0.05541225486,0.1359066282,True,True
ABS12,ZERO_CASH,20,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,-0.003992015968,-0.1109220924,2019-01-03,-0.02435069082,0.1482309784,True,True
ABS12,ZERO_CASH,20,2020-03-31,2020-04-01,2020-04-30,2020-05-01,2020-05-01,False,False,21,0.9856262834,0.1461005887,-9.181283194e-05,-0.003992015968,-0.1309593644,2020-04-01,0,0.1461005887,True,True
ABS12,ZERO_CASH,20,2022-05-31,2022-06-01,2023-04-28,2023-05-01,2023-05-01,False,False,229,10.97330595,0.030763738,0.02761226586,-0.003992015968,-0.03371844845,2022-10-12,-0.122384343,0.1745047275,True,False
SMA10,ZERO_CASH,20,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,-0.003992015968,-0.07172238199,2016-02-11,-0.05541225486,0.1359066282,True,True
SMA10,ZERO_CASH,20,2018-10-31,2018-11-01,2018-11-30,2018-12-03,2018-12-03,False,False,21,1.051334702,0.02058897649,0.001818663796,-0.003992015968,-0.0240851048,2018-11-23,-0.0374673102,0.06031617139,True,True
SMA10,ZERO_CASH,20,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,-0.003992015968,-0.1109220924,2019-01-03,-0.02435069082,0.1482309784,True,True
SMA10,ZERO_CASH,20,2019-05-31,2019-06-03,2019-06-28,2019-07-01,2019-07-01,False,False,20,0.9199178645,0.08122998331,0.001820131368,-0.003992015968,-0.07881949316,2019-06-03,0,0.08122998331,True,True
SMA10,ZERO_CASH,20,2020-02-28,2020-03-02,2020-05-29,2020-06-01,2020-06-01,False,False,63,2.98973306,-0.006390476146,0.001591807229,-0.003992015968,0.002413886059,2020-03-23,-0.2739370491,0.3684894989,False,True
SMA10,ZERO_CASH,20,2022-02-28,2022-03-01,2022-03-31,2022-04-01,2022-04-01,False,False,23,1.018480493,0.05672371874,4.621899675e-05,-0.003992015968,-0.05745658362,2022-03-08,-0.03115636243,0.09070615501,True,True
SMA10,ZERO_CASH,20,2022-04-29,2022-05-02,2022-11-30,2022-12-01,2022-12-01,False,False,148,6.997946612,-0.009186436266,0.01010388758,-0.003992015968,0.005242580933,2022-10-12,-0.1322801811,0.1418588606,False,False
SMA10,ZERO_CASH,20,2022-12-30,2023-01-03,2023-01-31,2023-02-01,2023-02-01,False,False,20,0.9527720739,0.07775416251,0.003056706547,-0.003992015968,-0.07584863165,2023-01-05,-0.003962922713,0.08204221217,True,True
SMA10,ZERO_CASH,20,2023-10-31,2023-11-01,2023-11-30,2023-12-01,2023-12-01,False,False,21,0.9856262834,0.08616725161,0.004631574068,-0.003992015968,-0.08300679978,2023-11-01,0,0.08616725161,True,True
SMA10,ZERO_CASH,20,2025-03-31,2025-04-01,2025-05-30,2025-06-02,2025-06-02,False,False,42,2.036960986,0.05595203698,0.007056539678,-0.003992015968,-0.05676778002,2025-04-08,-0.1148599615,0.1929773719,True,True
SMA10,ZERO_CASH,20,2026-03-31,2026-04-01,2026-04-30,2026-05-01,2026-05-01,False,False,21,0.9856262834,0.09984606352,0.003121002419,-0.003992015968,-0.09441146624,2026-04-01,0,0.09984606352,True,True
