,market,sma10,sma10_static,absolute12,absolute12_static
1969-05-31,0.003816303299,0.003816303299,0.004059858783,0.003816303299,0.004012053418
1969-06-30,-0.06687780233,-0.06687780233,-0.04905667058,-0.06687780233,-0.05255462388
1969-07-31,-0.06477797741,-0.06524558842,-0.04742722721,-0.06524558842,-0.05083285345
1969-08-31,0.05181230146,0.005,0.04021322483,0.005,0.04248945244
1969-09-30,-0.02358141232,0.0062,-0.01620777134,0.0062,-0.01765507852
1969-10-31,0.05651190962,0.006,0.04399615003,0.006,0.04645226947
1969-11-30,-0.03288063697,0.0052,-0.02345217393,0.0052,-0.02530280406
1969-12-31,-0.01998171246,0.0064,-0.01344981015,0.0064,-0.01473189983
1970-01-31,-0.07507711869,0.006,-0.05500306853,0.006,-0.05894322738
1970-02-28,0.05751182625,0.0062,0.04479786461,0.0062,0.04729287964
1970-03-31,-0.004982963032,0.0057,-0.002337946297,0.0057,-0.002857113382
1970-04-30,-0.1049746259,0.005,-0.07774578263,0.005,-0.08309029292
1970-05-31,-0.06377806078,0.0053,-0.04667488199,0.0053,-0.05003191462
1970-06-30,-0.05227901956,0.0058,-0.03789911595,0.0058,-0.04072162083
1970-07-31,0.0743104256,0.0052,0.05718635569,0.0052,0.0605468198
1970-08-31,0.05021243486,0.0053,0.03908410411,0.0053,0.04126795154
1970-09-30,0.04711269331,0.0054,0.03677718937,0.0054,0.03880545077
1970-10-31,-0.01818186253,0.004097951024,-0.01254125444,0.0046,-0.01364839982
1970-11-30,0.05071239317,0.05071239317,0.03928673869,0.0046,0.04152893356
1970-12-31,0.06151149276,0.06151149276,0.04731094342,0.0042,0.0500976896
1971-01-31,0.05201228479,0.05201228479,0.04006632254,0.0038,0.04241062373
1971-02-28,0.01731517778,0.01731517778,0.01384251961,0.0027986007,0.01452400148
1971-03-31,0.04411294343,0.04411294343,0.03392604454,0.04411294343,0.03592514337
1971-04-30,0.0342137688,0.0342137688,0.02643011578,0.0342137688,0.0279575965
1971-05-31,-0.0370802868,-0.0370802868,-0.02718148557,-0.0370802868,-0.02912443425
1971-06-30,0.002716395007,0.002716395007,0.002959927786,0.002716395007,0.002912126877
1971-07-31,-0.04097996166,-0.04097996166,-0.02984328067,-0.04097996166,-0.03202920188
1971-08-31,0.04251307682,0.04251307682,0.03314381357,0.04251307682,0.03498245783
1971-09-30,-0.004982963032,-0.004982963032,-0.002833130401,-0.004982963032,-0.00325510215
