,market_proxy,market_sma10_rf_5bps,market_absolute12_rf_5bps,long_momentum_drag0.015,long_quality_drag0.005,long_value_drag0.005,joint_value_quality_drag0.005
market_proxy,1,0.7774077,0.81447076,0.9190954,0.97056273,0.86414834,0.80110122
market_sma10_rf_5bps,0.7774077,1,0.8924697,0.79418231,0.76228865,0.65746013,0.61475813
market_absolute12_rf_5bps,0.81447076,0.8924697,1,0.83729733,0.80073569,0.6878892,0.62500063
long_momentum_drag0.015,0.9190954,0.79418231,0.83729733,1,0.90941397,0.75366809,0.69128614
long_quality_drag0.005,0.97056273,0.76228865,0.80073569,0.90941397,1,0.80165689,0.74783687
long_value_drag0.005,0.86414834,0.65746013,0.6878892,0.75366809,0.80165689,1,0.8728419
joint_value_quality_drag0.005,0.80110122,0.61475813,0.62500063,0.69128614,0.74783687,0.8728419,1
