name,period,annual_drag,size_controlled,purpose,start,end,observations,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation,excess_cagr,annualized_mean_excess_vs_benchmark,monthly_positive_rate,worst_year,worst_year_return,best_year,best_year_return
single_high_value_high_profit,full,0.005,False,"neighborhood falsification, not choosing the highest return",1964-01-31,2026-07-31,751,0.11654146115801423,0.2948683842630639,0.3723240577112409,0.5919217625846096,-0.8904569373643545,0.13087826740163644,1.2149372464486698,0.6367574202300517,0.009615905309340977,0.03949718701641543,0.563249001331558,2015,-0.5674154108643001,2009,1.4221861595251997
single_high_value_high_profit,pre2000,0.005,False,"neighborhood falsification, not choosing the highest return",1964-01-31,1999-12-31,432,0.12503098482377584,0.2678528394167949,0.34143320463914106,0.5395930193005464,-0.8904569373643545,0.14041216321347613,1.1866500097832906,0.6777410104278883,0.0004715239144756911,0.023744126212979014,0.5763888888888888,1969,-0.48306872575049165,1976,0.8054672068660143
single_high_value_high_profit,2000_2007,0.005,False,"neighborhood falsification, not choosing the highest return",2000-01-31,2007-12-31,96,0.21450344239944874,0.2510785445172816,0.775229848855371,1.3314099813294582,-0.2997056216787132,0.7157137767318831,0.9499287597039096,0.543735584059488,0.19446030379495038,0.19650289350999772,0.6145833333333334,2005,-0.2252817565725621,2003,0.5636316302684607
single_high_value_high_profit,2008_2009,0.005,False,"neighborhood falsification, not choosing the highest return",2008-01-31,2009-12-31,24,0.466764760649794,0.4960519522775847,1.0227508449726581,1.6224084076389382,-0.5055862335332788,0.9232149328667797,1.6534737255598178,0.7967850718614561,0.5650160668829403,0.5909180641904013,0.6666666666666666,2008,-0.11179458497699934,2009,1.4221861595251997
single_high_value_high_profit,2010_2019,0.005,False,"neighborhood falsification, not choosing the highest return",2010-01-31,2019-12-31,120,0.029881092234022466,0.3549188668011186,0.23585621647391503,0.39016117694144875,-0.7946088260561976,0.0376047826983351,1.5622618745506545,0.57113641923501,-0.10498979156313526,-0.046695250964498614,0.525,2015,-0.5674154108643001,2016,0.49440884420070197
single_high_value_high_profit,2020_onward,0.005,False,"neighborhood falsification, not choosing the highest return",2020-01-31,2026-07-31,79,0.006479139149097701,0.3045802377194614,0.08474886398065011,0.12242263361781394,-0.4776689190903475,0.013564079407628825,1.1872517409241623,0.6859469387331308,-0.14252866646802742,-0.10174628198061429,0.45569620253164556,2022,-0.23381074287780845,2021,0.3214247527251213
single_high_value_high_profit,dotcom,0.005,False,"neighborhood falsification, not choosing the highest return",2000-01-31,2002-12-31,36,0.23221487082217007,0.2938217473009413,0.7346301559096097,1.1798965891287982,-0.2997056216787132,0.7748098601604019,0.9074161094309801,0.6021610159913907,0.3807781587050556,0.3939222447753471,0.6944444444444444,2002,0.13797320977400984,2001,0.28323013738359215
single_high_value_high_profit,gfc,0.005,False,"neighborhood falsification, not choosing the highest return",2008-01-31,2008-12-31,12,-0.11179458497699934,0.5180242410784954,0.01667245429076332,0.021652258126867118,-0.4818812738828254,-0.23199611820604465,1.7389098982521334,0.7306416235215735,0.2553996387504347,0.4500982536903123,0.5833333333333334,2008,-0.11179458497699934,2008,-0.11179458497699934
single_high_value_high_profit,rebound2009,0.005,False,"neighborhood falsification, not choosing the highest return",2009-01-31,2009-12-31,12,1.4221861595251997,0.44965599052386096,2.2402761654138126,5.23752019194081,-0.18543626860974383,7.6694066925938476,1.6950399269537657,0.8358607214579391,1.1371936117328074,0.7317378746904902,0.75,2009,1.4221861595251997,2009,1.4221861595251997
single_high_value_high_profit,covid2020,0.005,False,"neighborhood falsification, not choosing the highest return",2020-01-31,2020-12-31,12,-0.22290707569497903,0.481058384571208,-0.29631501254318343,-0.4116975792990821,-0.44302851582658986,-0.5031438558285247,1.6411045974189042,0.9410963654317046,-0.4623283432887605,-0.3898962481140926,0.25,2020,-0.22290707569497903,2020,-0.22290707569497903
single_high_value_high_profit,inflation2022,0.005,False,"neighborhood falsification, not choosing the highest return",2022-01-31,2022-12-31,12,-0.23381074287780845,0.3534390612614048,-0.6177078739062943,-0.8019934214835573,-0.24461235288843064,-0.9558419275107137,1.235023687125371,0.8074198805758536,-0.03384197060149641,-0.008311932641613784,0.3333333333333333,2022,-0.23381074287780845,2022,-0.23381074287780845
single_high_value_high_profit,2023_2025,0.005,False,"neighborhood falsification, not choosing the highest return",2023-01-31,2025-12-31,36,0.07857859462351469,0.2708254637525045,0.23581483571954295,0.3767824374678384,-0.34254265107350024,0.22939798701637854,1.1057295434674588,0.5160517021736848,-0.15037154677312747,-0.10465941510084253,0.5,2023,-0.011402569493216053,2025,0.1418002469719255
single_high_value_high_profit,full,0.03,False,"neighborhood falsification, not choosing the highest return",1964-01-31,2026-07-31,751,0.08848765560128125,0.2942437620045033,0.2857141201927278,0.4452190608240322,-0.9061669453816271,0.09765050033249134,1.2123737039356128,0.6367574202300519,-0.018437900247392003,0.01375224081642619,0.5539280958721704,2015,-0.5782843703903222,2009,1.3613272107934131
single_high_value_high_profit,pre2000,0.03,False,"neighborhood falsification, not choosing the highest return",1964-01-31,1999-12-31,432,0.09676387465232494,0.26728544442144286,0.24599935607845677,0.38013954594475413,-0.9061669453816271,0.10678371700213958,1.184148307804077,0.6777410104278884,-0.027795586256975202,-0.0020006489003864935,0.5648148148148148,1969,-0.496056948721584,1976,0.7601037092060665
single_high_value_high_profit,2000_2007,0.03,False,"neighborhood falsification, not choosing the highest return",2000-01-31,2007-12-31,96,0.18398828053011695,0.2505466826564571,0.6735574994355131,1.1278073999067826,-0.3056205526395078,0.6020154042033253,0.9479265410930074,0.5437355840594883,0.1639451419256186,0.17060304852469235,0.6041666666666666,2005,-0.24474703907073803,2003,0.5243444033772942
single_high_value_high_profit,2008_2009,0.03,False,"neighborhood falsification, not choosing the highest return",2008-01-31,2009-12-31,24,0.429911374703821,0.4950011611201353,0.9714094916533008,1.525344203878411,-0.5139029444322403,0.8365614156556096,1.649978055120994,0.7967850718614559,0.5281626809369673,0.5644049446559563,0.6666666666666666,2008,-0.13411130394742554,2009,1.3613272107934131
single_high_value_high_profit,2010_2019,0.03,False,"neighborhood falsification, not choosing the highest return",2010-01-31,2019-12-31,120,0.004004682881409982,0.3541670390840131,0.16402939972846517,0.2665617462902112,-0.8053407932375972,0.004972656191064809,1.558953663152144,0.5711364192350097,-0.13086620091574774,-0.07230306712766187,0.5166666666666667,2015,-0.5782843703903222,2016,0.45686088329113717
single_high_value_high_profit,2020_onward,0.03,False,"neighborhood falsification, not choosing the highest return",2020-01-31,2026-07-31,79,-0.01880928143253735,0.30393504275740146,0.0009536210232550691,0.0013524594786932936,-0.5035869659575336,-0.03735061211676296,1.1847369288574057,0.6859469387331304,-0.16781708704966247,-0.12727886198342986,0.45569620253164556,2022,-0.25306172923766224,2021,0.2882231257722301
single_high_value_high_profit,dotcom,0.03,False,"neighborhood falsification, not choosing the highest return",2000-01-31,2002-12-31,36,0.2012546981884482,0.29319934214254484,0.6476183198525244,1.0208308729429443,-0.3056205526395078,0.658511662420284,0.9054957081782488,0.6021610159913906,0.34981798607133374,0.3679671024676039,0.6666666666666666,2002,0.10938091807114647,2001,0.2509881741327491
single_high_value_high_profit,gfc,0.03,False,"neighborhood falsification, not choosing the highest return",2008-01-31,2008-12-31,12,-0.13411130394742554,0.516926905830906,-0.03258712645883649,-0.041947586162742884,-0.4873457508723893,-0.27518718221581945,1.7352228435403967,0.7306416235215737,0.2330829197800085,0.4246267924350946,0.5833333333333334,2008,-0.13411130394742554,2008,-0.13411130394742554
single_high_value_high_profit,rebound2009,0.03,False,"neighborhood falsification, not choosing the highest return",2009-01-31,2009-12-31,12,1.3613272107934131,0.44870348033502444,2.1836029359653795,5.024361120000699,-0.18888360832277218,7.207227894900867,1.6914485704236295,0.8358607214579393,1.0763346630010209,0.7041830968768178,0.75,2009,1.3613272107934131,2009,1.3613272107934131
single_high_value_high_profit,covid2020,0.03,False,"neighborhood falsification, not choosing the highest return",2020-01-31,2020-12-31,12,-0.24243202354183824,0.4800393544184116,-0.3491480778495985,-0.4797810743315117,-0.4465605359329212,-0.5428872549952656,1.6376378834649652,0.9410963654317045,-0.4818532911356197,-0.4150227407646395,0.25,2020,-0.24243202354183824,2020,-0.24243202354183824
single_high_value_high_profit,inflation2022,0.03,False,"neighborhood falsification, not choosing the highest return",2022-01-31,2022-12-31,12,-0.25306172923766224,0.35269036822922223,-0.6897732798761667,-0.8802839626305524,-0.2588922264401199,-0.9774790565069121,1.2324021430604013,0.8074198805758538,-0.05309295696135019,-0.03329823911718521,0.3333333333333333,2022,-0.25306172923766224,2022,-0.25306172923766224
single_high_value_high_profit,2023_2025,0.03,False,"neighborhood falsification, not choosing the highest return",2023-01-31,2025-12-31,36,0.05147862993448249,0.2702517718212126,0.14132348306249579,0.21996959782180756,-0.34809576551929855,0.14788640090948907,1.1033858187859855,0.516051702173685,-0.17747151146215967,-0.13031408646979303,0.5,2023,-0.03624170091298384,2025,0.11311179855554587
top2_value_top2_profit,full,0.005,False,"neighborhood falsification, not choosing the highest return",1964-01-31,2026-07-31,751,0.14074861416250983,0.2075512829917577,0.5311247966627121,0.8217628065983211,-0.5491521309779677,0.25630168075985627,1.0750424167571784,0.8011012196077965,0.033823058313836585,0.03996902051065131,0.6085219707057257,2015,-0.344906607699883,2009,0.6989709449159174
top2_value_top2_profit,pre2000,0.005,False,"neighborhood falsification, not choosing the highest return",1964-01-31,1999-12-31,432,0.16388506793915503,0.19271960852618966,0.5647915961252931,0.904117948805019,-0.5491521309779677,0.2984329090142968,1.0540831850054944,0.835736477542197,0.03932560702985488,0.041347764484794325,0.6134259259259259,1973,-0.33813252185544584,1976,0.6638974778912403
top2_value_top2_profit,2000_2007,0.005,False,"neighborhood falsification, not choosing the highest return",2000-01-31,2007-12-31,96,0.16207152983598228,0.18090726459423032,0.7482582480309947,1.1678636104882665,-0.29048305491705073,0.5579379832750067,0.8342358441605835,0.6615385861365003,0.14202839123148392,0.13732880388974877,0.65625,2002,-0.04398959138048808,2003,0.4843077690457649
top2_value_top2_profit,2008_2009,0.005,False,"neighborhood falsification, not choosing the highest return",2008-01-31,2009-12-31,24,0.06239970989838217,0.36863275025543846,0.32654550738126187,0.47167714995629884,-0.5217691778968494,0.11959255652068856,1.427672897790403,0.9256991002206598,0.16065101613152843,0.20363387116698595,0.5416666666666666,2008,-0.33566071452268065,2009,0.6989709449159174
top2_value_top2_profit,2010_2019,0.005,False,"neighborhood falsification, not choosing the highest return",2010-01-31,2019-12-31,120,0.054035988195900275,0.20894791686179098,0.3313526895669313,0.49608363024220054,-0.5233689628455919,0.10324645141756786,1.316099758270374,0.8157374480093854,-0.08083489560125745,-0.06113264403506681,0.575,2015,-0.344906607699883,2013,0.38847170506885287
top2_value_top2_profit,2020_onward,0.005,False,"neighborhood falsification, not choosing the highest return",2020-01-31,2026-07-31,79,0.15152420460085758,0.24784788814462597,0.5868798338339486,0.9041698924992123,-0.36361539066341897,0.41671559700594785,1.0452509401683578,0.7420942232262504,0.0025163989837324596,0.017970118339904473,0.5949367088607594,2022,-0.11453677331150924,2021,0.4195720880314655
top2_value_top2_profit,dotcom,0.005,False,"neighborhood falsification, not choosing the highest return",2000-01-31,2002-12-31,36,0.07610076813839606,0.23706247216843027,0.27216946108634804,0.3894014084183768,-0.29048305491705073,0.2619800599388736,0.7727598263630014,0.6372975480605197,0.2246640560212816,0.24257031280545677,0.6666666666666666,2002,-0.04398959138048808,2000,0.18928359459189492
top2_value_top2_profit,gfc,0.005,False,"neighborhood falsification, not choosing the highest return",2008-01-31,2008-12-31,12,-0.33566071452268065,0.3328847473571658,-1.083390377860691,-1.1418732322240315,-0.41262556627231406,-0.8134753199009483,1.3488087226109082,0.8840858305387377,0.031533509204753396,0.08154873333803414,0.4166666666666667,2008,-0.33566071452268065,2008,-0.33566071452268065
