name,family,dataset,scenario,benchmark,parameter,timing,data_quality,tradable_holdings_known,period,start,end,observations,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation,excess_cagr,annualized_mean_excess_vs_benchmark,monthly_positive_rate,worst_year,worst_year_return,best_year,best_year_return,annual_traded_notional,annual_one_way_equivalent_turnover,annual_transaction_cost_fraction,mean_invested_fraction,mean_holdings,completed_holding_spells,censored_open_spells,left_censored_spells,mean_completed_holding_months,assumed_annual_internal_drag
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,2008_2009,2008-01-31,2009-12-31,24,-0.14737841,0.34849579,-0.30240106,-0.37855396,-0.5847299,-0.25204528,1.3408859,0.92055793,-0.049127107,-0.022368205,0.58333333,2008,-0.38544868,2009,0.18291759,,,,1,,,,,,0.005
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,2010_2019,2010-01-31,2019-12-31,120,0.1056387,0.16235989,0.66985808,1.0514063,-0.2506023,0.42153923,1.1441335,0.91218886,-0.029232182,-0.021562052,0.61666667,2018,-0.1492448,2013,0.3930755,,,,1,,,,,,0.005
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,2020_onward,2020-01-31,2026-07-31,79,0.18409315,0.23528477,0.72613016,1.1083927,-0.38153197,0.48251042,1.087082,0.81308028,0.035085343,0.043377744,0.63291139,2020,-0.043300449,2021,0.36258073,,,,1,,,,,,0.005
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,dotcom,2000-01-31,2002-12-31,36,-0.033026581,0.22474745,-0.20565245,-0.28325495,-0.41012163,-0.080528746,0.78759737,0.68992973,0.11553671,0.13227523,0.47222222,2002,-0.29544515,2000,0.29949111,,,,1,,,,,,0.005
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,gfc,2008-01-31,2008-12-31,12,-0.38544868,0.29166794,-1.5473727,-1.5241354,-0.39401446,-0.97826023,1.1675359,0.8742869,-0.018254456,-0.0085891072,0.41666667,2008,-0.38544868,2008,-0.38544868,,,,1,,,,,,0.005
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,rebound2009,2009-01-31,2009-12-31,12,0.18291759,0.38497145,0.62131992,0.91678209,-0.32427108,0.56408852,1.6883465,0.97210143,-0.10207495,-0.036147304,0.75,2009,0.18291759,2009,0.18291759,,,,1,,,,,,0.005
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,covid2020,2020-01-31,2020-12-31,12,-0.043300449,0.40575306,0.081427248,0.10964914,-0.38153197,-0.11349101,1.4087034,0.95708645,-0.28272172,-0.21382981,0.58333333,2020,-0.043300449,2020,-0.043300449,,,,1,,,,,,0.005
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,inflation2022,2022-01-31,2022-12-31,12,0.037858851,0.26853591,0.20946186,0.32200524,-0.1583335,0.23910828,0.96689544,0.83505511,0.23782762,0.26650325,0.58333333,2022,0.037858851,2022,0.037858851,,,,1,,,,,,0.005
long_value_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_value,provider PIT convention; revised vintage,EXPLORATORY,False,2023_2025,2023-01-31,2025-12-31,36,0.21550798,0.17799715,0.92641662,1.6759785,-0.13765442,1.5655726,1.0377854,0.73577552,-0.013442157,-0.0036816035,0.63888889,2023,0.12988569,2025,0.32182022,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,full,1964-01-31,2026-07-31,751,0.14074861,0.20755128,0.5311248,0.82176281,-0.54915213,0.25630168,1.0750424,0.80110122,0.033823058,0.039969021,0.60852197,2015,-0.34490661,2009,0.69897095,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,pre2000,1964-01-31,1999-12-31,432,0.16388507,0.19271961,0.5647916,0.90411795,-0.54915213,0.29843291,1.0540832,0.83573648,0.039325607,0.041347765,0.61342593,1973,-0.33813252,1976,0.66389748,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2000_2007,2000-01-31,2007-12-31,96,0.16207153,0.18090727,0.74825825,1.1678636,-0.29048305,0.55793798,0.83423584,0.66153859,0.14202839,0.1373288,0.65625,2002,-0.043989591,2003,0.48430777,,,,1,,,,,,0.005
joint_value_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",joint_value_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2008_2009,2008-01-31,2009-12-31,24,0.06239971,0.36863275,0.32654551,0.47167715,-0.52176918,0.11959256,1.4276729,0.9256991,0.16065102,0.20363387,0.54166667,2008,-0.33566071,2009,0.69897095,,,,1,,,,,,0.005
