,market_proxy,market_sma10_rf_5bps,market_absolute12_rf_5bps,market_sma10_delay2_volNone,market_sma10_delay1_vol0.1,market_absolute12_delay2_volNone,market_absolute12_delay1_vol0.1,long_momentum_drag0.015,long_losers_diagnostic_drag0.015,small_momentum_diagnostic_drag0.015,long_quality_drag0.005,low_quality_diagnostic_drag0.005,long_value_drag0.005,joint_value_quality_drag0.005,SPY_hold,SPY_sma210_rf_5bps,SPY_absolute252_rf_5bps,SPY_dual_volNone_delay1,SPY_sma_vol0.1_delay1,SPY_sma_volNone_delay2,SPY_AGG_hold,SPY_AGG_sma210_rf_5bps,SPY_AGG_absolute252_rf_5bps,SPY_AGG_dual_volNone_delay1,SPY_AGG_sma_vol0.1_delay1,SPY_AGG_sma_volNone_delay2,stocks_equal_weight,stocks_mom252_n20_monthly_liq5e+07_15bps,stocks_buffer1.5,stocks_sector30,stocks_delay2,mix_trend_momentum,mix_momentum_quality,mix_trend_momentum_quality,mix_trend_momentum_value
1965-04-30,0.03411377714,0.03411377714,0.03411377714,0.03411377714,0.03411377714,0.03411377714,0.03411377714,0.05596920079,0.02331035953,0.05237373203,0.04361797738,0.02990570635,0.02870021001,0.0448359685,,,,,,,,,,,,,,,,,,0.04503602511,0.04979050128,0.04456318436,0.03958893771
1965-05-31,-0.004782979706,-0.004782979706,-0.004782979706,-0.004782979706,-0.004782979706,-0.004782979706,-0.004782979706,0.0006389314954,-0.002157544209,-0.007450873221,-0.008431276493,0.006560459974,-0.02321709899,-0.02013388715,,,,,,,,,,,,,,,,,,-0.002073379583,-0.003898440051,-0.004193385137,-0.009125081306
1965-06-30,-0.05167906958,-0.05167906958,-0.05167906958,-0.05167906958,-0.05167906958,-0.05167906958,-0.05167906958,-0.07856125542,-0.03651424572,-0.1043287815,-0.05327254185,-0.05760573145,-0.04935817727,-0.06101780589,,,,,,,,,,,,,,,,,,-0.06512688305,-0.06592322081,-0.06117675238,-0.05987239912
1965-07-31,0.01741516945,0.01690646186,0.01741516945,0.01741516945,0.01690646186,0.01741516945,0.01741516945,0.05027637525,0.0009385538923,0.04787939607,0.01617444326,0.03617408743,0.0409001129,0.04300448369,,,,,,,,,,,,,,,,,,0.03358307608,0.03321688377,0.02777826325,0.03602127627
1965-08-31,0.03051407728,0.0033,0.03051407728,0.02999882024,0.0033,0.03051407728,0.03051407728,0.0516746131,0.02071363209,0.06695535534,0.04251044011,0.01646332257,0.02473586631,0.03565155574,,,,,,,,,,,,,,,,,,0.0274752129,0.04709023556,0.03248528606,0.02656179165
1965-09-30,0.03161398557,0.00259870065,0.03161398557,0.0031,0.00259870065,0.03161398557,0.03161398557,0.0544710888,0.0195151425,0.04897801153,0.03911685794,0.03964463743,0.0355233593,0.03431286504,,,,,,,,,,,,,,,,,,0.02852192663,0.04679013481,0.03205239463,0.03085496102
1965-10-31,0.02901420234,0.02901420234,0.02901420234,0.00259870065,0.02901420234,0.02901420234,0.02901420234,0.05367209575,0.01152521192,0.07184918782,0.04509436055,0.02241683519,0.05445444991,0.05786827362,,,,,,,,,,,,,,,,,,0.04133698457,0.04938108371,0.04258902643,0.0457080162
1965-11-30,0.003116361659,0.003116361659,0.003116361659,0.003116361659,0.003116361659,0.003116361659,0.003116361659,0.03209928317,-0.005852887104,0.06136240393,0.005139053836,0.006121643311,-0.003488341646,0.01007449181,,,,,,,,,,,,,,,,,,0.01760057668,0.01861242845,0.01344535032,0.01056859322
1965-12-31,0.01331551127,0.01331551127,0.01331551127,0.01331551127,0.01331551127,0.01331551127,0.01331551127,0.01631917027,0.00952772927,0.03789198284,0.005230015832,0.01692912795,0.0403103593,0.02852778205,,,,,,,,,,,,,,,,,,0.01481658985,0.01077182076,0.01161943527,0.0233093485
1966-01-31,0.01091571136,0.01091571136,0.01091571136,0.01091571136,0.01091571136,0.01091571136,0.01091571136,0.05407159227,-0.01464181075,0.07913999948,0.01125649797,0.03222373788,0.04112501893,0.03303115054,,,,,,,,,,,,,,,,,,0.03248286285,0.03265334135,0.02540504821,0.0353626225
1966-02-28,-0.008682654557,-0.008682654557,-0.008682654557,-0.008682654557,-0.008682654557,-0.008682654557,-0.008682654557,0.02850381441,-0.02622721009,0.05157473897,-0.004974720639,-0.02049823493,-0.005898334754,0.01013421686,,,,,,,,,,,,,,,,,,0.009901283308,0.01175617725,0.004940961403,0.004632987408
1966-03-31,-0.02138159574,-0.02138159574,-0.02138159574,-0.02138159574,-0.02138159574,-0.02138159574,-0.02138159574,-0.0004596839599,-0.03012230125,-0.02113362935,-0.009890666761,-0.03302999917,-0.04051687116,-0.03316294363,,,,,,,,,,,,,,,,,,-0.01092587033,-0.005177533106,-0.01058091691,-0.02079282574
1966-04-30,0.02461456917,0.02461456917,0.02461456917,0.02461456917,0.02461456917,0.02461456917,0.02461456917,0.04558229103,0.01042659646,0.08453320263,0.02254278257,0.017493892,0.01501192896,0.01766781933,,,,,,,,,,,,,,,,,,0.03509318817,0.03405677692,0.03090832457,0.02839720327
1966-05-31,-0.05267898621,-0.05267898621,-0.05267898621,-0.05267898621,-0.05267898621,-0.05267898621,-0.05267898621,-0.07686339517,-0.03981009209,-0.122006503,-0.04783281457,-0.06061547398,-0.070948157,-0.08290491148,,,,,,,,,,,,,,,,,,-0.06477723679,-0.06235536251,-0.05913097809,-0.06683489652
1966-06-30,-0.01068248781,-0.01117714657,-0.01068248781,-0.01068248781,-0.01117714657,-0.01068248781,-0.01070139386,0.01801703052,-0.01983526563,0.008528987947,-0.01679478223,-0.01369207853,-0.002008959731,-0.006824447824,,,,,,,,,,,,,,,,,,0.003412643428,0.0006024211905,-0.003325411204,0.001604839164
1966-07-31,-0.0128823044,0.0035,-0.0128823044,-0.01337586324,0.0035,-0.0128823044,-0.01227562576,-0.01753816058,-0.007251124956,-0.02462922398,-0.01348216624,-0.01143302237,-0.01214172627,-0.03431221346,,,,,,,,,,,,,,,,,,-0.007024339832,-0.01551117741,-0.009177666754,-0.008730704494
1966-08-31,-0.07537709367,0.0041,-0.07537709367,0.0041,0.0041,-0.07537709367,-0.07537709367,-0.09124527022,-0.06637661128,-0.1155146844,-0.08157871556,-0.06470276632,-0.0745606477,-0.04306380705,,,,,,,,,,,,,,,,,,-0.04359647143,-0.08641440953,-0.05626144237,-0.05392130663
1966-09-30,-0.0066828213,0.004,-0.007179479889,0.004,0.004,-0.0066828213,-0.007179479889,-0.03062167191,-0.001558299415,-0.01983526563,-0.01667683151,0.009480240092,-0.005551479669,-0.03788022275,,,,,,,,,,,,,,,,,,-0.01331949137,-0.02365273792,-0.01443897875,-0.01073101629
1966-10-31,0.04301303513,0.0045,0.0045,0.0045,0.0045,0.04249152862,0.0045,-0.008849111073,0.06246101939,-0.03921084729,0.02128031003,0.08064650689,0.05155466144,0.01976519305,,,,,,,,,,,,,,,,,,-0.002177892814,0.006208067125,0.005638520795,0.01572324363
1966-11-30,0.01771514443,0.004,0.004,0.004,0.004,0.004,0.004,0.06415887964,-0.02003501389,0.07045094997,0.04538923735,-0.006387130535,-0.006218201114,-0.0144197745,,,,,,,,,,,,,,,,,,0.0340644001,0.05476936608,0.0378380892,0.02063238885
1966-12-31,0.005216186579,0.004,0.004,0.004,0.004,0.004,0.004,0.00213704348,0.0002394349662,0.03140016424,-0.001562146409,0.006901317564,-0.002063936761,-0.01772489363,,,,,,,,,,,,,,,,,,0.003068056001,0.0002865237379,0.001523936653,0.001356561693
