name,family,dataset,scenario,benchmark,parameter,timing,data_quality,tradable_holdings_known,period,start,end,observations,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation,excess_cagr,annualized_mean_excess_vs_benchmark,monthly_positive_rate,worst_year,worst_year_return,best_year,best_year_return,annual_traded_notional,annual_one_way_equivalent_turnover,annual_transaction_cost_fraction,mean_invested_fraction,mean_holdings,completed_holding_spells,censored_open_spells,left_censored_spells,mean_completed_holding_months,assumed_annual_internal_drag
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,2008_2009,2008-01-31,2009-12-31,24,0.11412402,0.0770255471,1.32164335,5.48441271,-0.0253812623,4.49638865,0.135070132,0.407389516,0.212375326,0.186052581,0.791666667,2008,0.00781744857,2009,0.231644017,1.49980004,0.74990002,0.000299521687,0.375,0.375,1,1,0,1,
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,2010_2019,2010-01-31,2019-12-31,120,0.0967262173,0.102380954,0.905610759,1.43668568,-0.160729825,0.601793833,0.608120956,0.768651741,-0.0381446665,-0.0375951076,0.666666667,2015,-0.0662942434,2013,0.350178317,1.79982004,0.899910018,0.000361754837,0.816666667,0.816666667,8,1,1,10.875,
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,2020_onward,2020-01-31,2026-07-31,79,0.0976035988,0.134240774,0.557970731,0.877496012,-0.20245282,0.482105405,0.570492442,0.748611934,-0.0514042068,-0.0526350536,0.658227848,2022,-0.0706093219,2021,0.256857252,2.12636966,1.06318483,0.000427349131,0.746835443,0.746835443,6,1,1,9,
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,dotcom,2000-01-31,2002-12-31,36,-0.0366817214,0.10603488,-0.646177596,-0.765269136,-0.148221052,-0.247479833,0.281916587,0.514979667,0.111881567,0.109402987,0.75,2000,-0.0964950454,2001,0.0380404006,2.66640005,1.33320003,0.000528911377,0.361111111,0.361111111,3,1,1,2.66666667,
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,gfc,2008-01-31,2008-12-31,12,0.00781744857,0.00786856581,-1.02780668,-1.02540039,-0.00628165475,1.24448874,-0.00501992305,-0.0909606236,0.375011672,0.433483096,0.833333333,2008,0.00781744857,2008,0.00781744857,1.99980004,0.99990002,0.000399083366,0.0833333333,0.0833333333,1,0,0,1,
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,rebound2009,2009-01-31,2009-12-31,12,0.231644017,0.101960773,2.09835863,8.42715613,-0.0253812623,9.12657594,0.187088332,0.407316457,-0.0533485304,-0.0613779332,0.75,2009,0.231644017,2009,0.231644017,0.99980004,0.49990002,0.000199960008,0.666666667,0.666666667,0,1,0,,
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,covid2020,2020-01-31,2020-12-31,12,0.00861719595,0.239520307,0.127467333,0.188907312,-0.20245282,0.0425639709,0.747979052,0.858740119,-0.230804072,-0.216305309,0.5,2020,0.00861719595,2020,0.00861719595,1.99980004,0.99990002,0.000373465539,0.75,0.75,0,1,1,,
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,inflation2022,2022-01-31,2022-12-31,12,-0.0706093219,0.0656337285,-1.33086476,-1.29005634,-0.0833317881,-0.847327574,0.0580258102,0.221493348,0.12935945,0.125328426,0.666666667,2022,-0.0706093219,2022,-0.0706093219,1.99980004,0.99990002,0.000396043582,0.166666667,0.166666667,0,1,1,,
market_sma6_rf_2bps,trend,French monthly,2bps_rf,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,2023_2025,2023-01-31,2025-12-31,36,0.144859447,0.108426065,0.872584855,1.47305032,-0.0916184858,1.58111592,0.70218348,0.816501042,-0.0840906947,-0.0738575846,0.722222222,2025,0.0559745303,2024,0.248925929,1.99980004,0.99990002,0.000403209642,0.861111111,0.861111111,2,1,0,12,
market_sma6_zero_2bps,trend,French monthly,2bps_zero,"French market, not SPY",sma/6,one full month execution delay,EXPLORATORY,True,full,1964-01-31,2026-07-31,751,0.0768315729,0.118347181,0.316413335,0.460942814,-0.298983252,0.256976177,0.580876154,0.753929347,-0.030093983,-0.0327191555,0.458055925,1969,-0.172577795,2013,0.350178317,2.20483946,1.10241973,0.000443170681,0.719041278,0.719041278,68,1,1,7.63235294,
